Xm,Ym
1023012.627,1292387.577
1032147.845,1297274.599
1036348.129,1295278.267
1036202.92,1291555.403
1036263.889,1291265.076
1036284.246,1288059.528
1029241.185,1285759.753
1025999.141,1288075.499
1024481.928,1288762.237
1024441.94,1289194.791
1024136.156,1289456.891
1028409.391,1294264.337
1028991.836,1293128.57
1030710.048,1293740.137
1030011.114,1294963.271
1025409.799,1292720.858
1026196.1,1291497.724
1027768.701,1292254.902
1026865.912,1293565.403
1033738.762,1294380.826
1034175.596,1293798.381
1034991.018,1294206.093
1034088.229,1295778.694
1034874.53,1289677.583
1034277.523,1289167.944
1034525.063,1288672.866
1035194.874,1288876.722
1033127.195,1288891.283
1032268.088,1288104.982
1032297.211,1287624.465
1033447.539,1287828.321
1032260.808,1296317.456
1032974.303,1295378.263
1031933.183,1295451.069
1029326.741,1286823.603
1028915.311,1292467.932
1024412.276,1289410.117
1029025.108,1291902.338
1029580.941,1291838.717
1029975.5,1291642.229
1029975.5,1291552.191
1029895.467,1291402.128
1029695.384,1291202.044
1029573.194,1291149.539
1029485.298,1291122.01
1029395.261,1291081.993
1029248.875,1290981.183
1029121.833,1290835.549
1028975.087,1290671.82
1028752.069,1290323.25
1028704.976,1290091.576
1028733.477,1289905.974
1028797.515,1289771.702
1028860.519,1289625.035
1028964.838,1289499.026
1029085.683,1289428.792
1029285.215,1289431.298
1029515.31,1289591.366
1029635.36,1289641.387
1029705.388,1289711.416
1029745.405,1289831.467
1029965.496,1290111.585
1030145.57,1290221.631
1030345.653,1290281.656
1030485.71,1290451.728
1030575.748,1290491.745
1030775.83,1290711.837
1031025.933,1291182.035
1031115.97,1291522.178
1031196.003,1291892.334
1031316.053,1292202.465
1031326.057,1292422.557
1031436.102,1292612.637
1031606.173,1292752.696
1031716.218,1292792.713
1032206.42,1292812.721
1032330.419,1292778.879
1032616.589,1292792.713
1033096.788,1292942.776
1033266.858,1292922.768
1034117.209,1292862.743
1034397.324,1292982.793
1034558.302,1292973.057
1034820.649,1292828.973
1035062.855,1292742.729
1035107.617,1292752.696
1035217.663,1292742.692
1035407.741,1292652.654
1035567.807,1292442.566
1035617.828,1292152.444
1035737.877,1291882.33
1035734.732,1291790.43
1035821.492,1291642.731
1035900.98,1291575.726
1036139.048,1291555.403
1024263.566,1289542.438
1024783.358,1289921.505
1024933.42,1290001.538
1024960.175,1290014.941
1025164.681,1290133.72
1025253.552,1290161.606
1025339.235,1290227.71
1025473.643,1290311.669
1025530.314,1290370.245
1025550.972,1290407.428
1025565.432,1290430.151
1025583.688,1290471.736
1025803.779,1290611.795
1025943.837,1290761.858
1026313.989,1290891.913
1026509.209,1290958.718
1026674.138,1290981.951
1027024.282,1291112.006
1027114.32,1291182.035
1027194.353,1291192.039
1027384.431,1291362.111
1027764.588,1291602.212
1027835.92,1291624.656
1027895.826,1291631.886
1027914.65,1291642.229
1028204.769,1291682.246
1028344.827,1291812.3
1028464.877,1291852.317
1029025.108,1291902.338
1035928.503,1291266.993
1035877.935,1291272.073
1035731.633,1291359.727
1035617.828,1291472.157
1035487.774,1291752.275
1035457.762,1292002.38
1035377.729,1292242.482
1035167.642,1292512.595
1034977.563,1292552.612
1034897.53,1292652.654
1034587.403,1292752.696
1034364.124,1292721.039
1034107.204,1292702.675
1033817.085,1292702.675
1033725.815,1292673.011
1033597.74,1292677.142
1033500.651,1292710.194
1033261.027,1292796.954
1032906.709,1292772.705
1032606.585,1292642.65
1032366.486,1292592.629
1032221.968,1292589.865
1032116.383,1292632.646
1032066.362,1292692.671
1031976.325,1292672.663
1031906.296,1292662.658
1031716.218,1292612.637
1031496.127,1292472.578
1031416.094,1292362.532
1031456.111,1292092.418
1031466.115,1291732.267
1031406.09,1291222.052
1031336.061,1290961.943
1031206.008,1290721.842
1030885.875,1290411.711
1030565.743,1289971.526
1030385.669,1289831.467
1030255.615,1289701.412
1029805.43,1289491.324
1029575.335,1289321.252
1029445.281,1289271.231
1029315.228,1289211.206
1029225.19,1289211.206
1028965.083,1289221.21
1028768.595,1289290.388
1028555.825,1289453.58
1028419.487,1289711.796
1028332.727,1290257.147
1028404.852,1290491.745
1028514.897,1290741.85
1029145.157,1291262.069
1029485.298,1291412.132
1029675.376,1291452.149
1029755.409,1291582.204
1029702.302,1291680.43
1029439.955,1291742.402
1029175.17,1291772.284
1028905.058,1291752.275
1028444.868,1291632.225
1027594.518,1291282.077
1027513.409,1291231.652
1027460.733,1291202.732
1027404.439,1291172.031
1026854.212,1290781.867
1026434.039,1290331.677
1026053.882,1290041.555
1025283.564,1289661.395
1024963.432,1289441.303
1024465.601,1289230.284
1034190.157,1291140.976
1031365.299,1288286.996
1028773.419,1288345.241
1023101.516537347,1292435.129792345
1023192.135887747,1292483.60797415
1023284.518807322,1292533.029603759
1023378.699566151,1292583.413014464
1023474.71315938,1292634.776927444
1023572.595240513,1292687.140416077
1023672.382214954,1292740.52295598
1023774.111102016,1292794.94435119
1023877.819732244,1292850.424839725
1023983.546631001,1292906.985031307
1024091.33105229,1292964.645925452
1024201.21303806,1293023.428943204
1024313.233441652,1293083.35593967
1024427.433843682,1293144.449159025
1024543.856674771,1293206.731300166
1024662.545214525,1293270.22551617
1024783.543501264,1293334.955365994
1024906.89654968,1293400.944930926
1025032.650139923,1293468.218701743
1025160.850997206,1293536.8016748
1025291.546750719,1293606.719330046
1025424.785941353,1293677.99763516
1025560.618091253,1293750.663082758
1025699.093649514,1293824.742661338
1025840.264070421,1293900.263897145
1025984.181772369,1293977.254832184
1026130.900237593,1294055.744077581
1026280.473968343,1294135.760790133
1026432.958519259,1294217.334689626
1026588.410563063,1294300.496093986
1026746.887824313,1294385.275883831
1026908.449221093,1294471.705578275
1027073.154721925,1294559.817258378
1027241.065465595,1294649.643631252
1027412.243982267,1294741.218148346
1027586.753693847,1294834.574738162
1027764.659590669,1294929.748168254
1027946.027593611,1295026.773703985
1028130.925242347,1295125.687476719
1028319.421179367,1295226.526207784
1028511.585360969,1295329.327321354
1028707.489221187,1295434.129032136
1028907.205480723,1295540.970243163
1029110.808483485,1295649.890725823
1029318.373735053,1295760.93087296
1029529.978362454,1295874.131944835
1029745.700981929,1295989.535998385
1029965.621811818,1296107.185947618
1030189.822404856,1296227.125420391
1030418.386207097,1296349.399057425
1030651.397970098,1296474.052197836
1030888.944427448,1296601.131241061
1031131.113665819,1296730.683310387
1031377.995757417,1296862.756591293
1031629.682387932,1296997.400132414
1031886.267034276,1297134.663940628
1032410.362749996,1297149.828250002
1032672.880500009,1297025.057499996
1032935.398249987,1296900.286750006
1033197.916,1296775.516
1033460.433750013,1296650.745249994
1033722.951499991,1296525.974500004
1033985.469250004,1296401.203749998
1034247.987,1296276.433
1034510.504749996,1296151.662250002
1034773.022500009,1296026.891499996
1035035.540249987,1295902.120750006
1035298.058,1295777.35
1035560.575750013,1295652.579249994
1035823.093499991,1295527.808500004
1036085.611250004,1295403.037749998
1036337.0704978,1294994.749451257
1036326.629585945,1294727.065665325
1036316.771773132,1294474.331355208
1036307.464494331,1294235.711619597
1036298.677005202,1294010.41823607
1036290.380275717,1293797.706933628
1036282.546898632,1293596.875046137
1036275.150997288,1293407.259148639
1036268.168138264,1293228.23281779
1036261.575254906,1293059.204671384
1036255.350566874,1292899.616305751
1036249.473514058,1292748.940601376
1036243.924680489,1292606.679772264
1036238.685733891,1292472.363816048
1036233.739370829,1292345.549107759
1036229.069249964,1292225.816688681
1036224.659944225,1292112.771039972
1036220.4968873,1292006.038711025
1036216.566326703,1291905.267115955
1036212.855278917,1291810.123383794
1036209.351483527,1291720.293182359
1036206.043366909,1291635.479787412
1036218.162249998,1291482.821250011
1036233.4045,1291410.2395
1036248.646750002,1291337.657749988
1036264.394745725,1291185.437929649
1036264.935044071,1291100.358974874
1036265.512255998,1291009.467363242
1036266.128903307,1290912.365995299
1036266.787680255,1290808.63061548
1036267.491465161,1290697.807984477
1036268.243333014,1290579.413894369
1036269.046568995,1290452.931038638
1036269.904682348,1290317.806828802
1036270.82142228,1290173.450889431
1036271.800794433,1290019.232466018
1036272.847077959,1289854.477734819
1036273.964843942,1289678.466902601
1036275.158976287,1289490.430917434
1036276.434692333,1289289.548222572
1036277.797565986,1289074.941113717
1036279.253551831,1288845.671942827
1036280.809011361,1288600.738986725
1036282.470740982,1288339.07203863
1036002.523560007,1287967.537000002
1035720.801120051,1287875.546000017
1035439.078680036,1287783.555000012
1035157.356240048,1287691.564000016
1034875.633800038,1287599.573000012
1034593.911360004,1287507.582000001
1034312.188919999,1287415.591
1034030.46647996,1287323.599999987
1033748.744039982,1287231.608999994
1033467.021599964,1287139.617999988
1033185.299160005,1287047.627000001
1032903.576720015,1286955.636000005
